app_name,joint_lifespan,expected_revenue,apple_price,play_price,apple_genre,play_genre,apple_purchase_price,play_purchase_price,,,,
DRAGON QUEST,19,1140000,2.99,2.99,Games,Role Playing,29900,29900,,,,
Dr. Panda Farm,18,1080000,2.99,2.99,Education,Education;Pretend Play,29900,29900,,,,
Dr. Panda Supermarket,18,1080000,2.99,2.99,Education,Educational;Pretend Play,29900,29900,,,,
Retro City Rampage DX,20,1200000,4.99,2.99,Games,Action,49900,29900,,,,
Farming Simulator 16,19,1140000,4.99,2.99,Games,Simulation;Education,49900,29900,,,,
Toca Life: City,20,1200000,2.99,3.99,Education,Education;Pretend Play,29900,39900,,,,
Sago Mini Babies,19,1140000,2.99,3.99,Education,Education;Pretend Play,29900,39900,,,,
Toca Builders,19,1140000,2.99,3.99,Education,Education;Creativity,29900,39900,,,,
Dr. Panda & Toto's Treehouse,20,1200000,3.99,3.99,Entertainment,Casual;Pretend Play,39900,39900,,,,
Puffin Browser Pro,17,1020000,3.99,3.99,Utilities,Communication,39900,39900,,,,
My Talking Pet,20,1200000,1.99,4.99,Entertainment,Entertainment,19900,49900,,,,
Battleheart Legacy,20,1200000,4.99,4.99,Games,Role Playing,49900,49900,,,,
F-Sim Space Shuttle,20,1200000,4.99,4.99,Games,Simulation,49900,49900,,,,
Don't Starve: Pocket Edition,19,1140000,4.99,4.99,Games,Adventure,49900,49900,,,,
LEGO® Friends,19,1140000,4.99,4.99,Games,Casual;Pretend Play,49900,49900,,,,
NBA JAM by EA SPORTS™,19,1140000,4.99,4.99,Games,Sports;Action & Adventure,49900,49900,,,,
Paprika Recipe Manager,19,1140000,4.99,4.99,Food & Drink,Food & Drink,49900,49900,,,,
"Please, Don't Touch Anything",19,1140000,4.99,4.99,Games,Puzzle,49900,49900,,,,
LEGO Batman: DC Super Heroes,18,1080000,4.99,4.99,Games,Adventure;Action & Adventure,49900,49900,,,,
Don't Starve: Shipwrecked,17,1020000,4.99,4.99,Games,Adventure,49900,49900,,,,
I am Bread,17,1020000,4.99,4.99,Games,Adventure,49900,49900,,,,
RollerCoaster Tycoon® Classic,19,1140000,5.99,5.99,Games,Simulation,59900,59900,,,,
The EO Bar,21,1260000,6.99,6.99,Health & Fitness,Health & Fitness,69900,69900,,,,
Grand Theft Auto: San Andreas,19,1140000,6.99,6.99,Games,Action,69900,69900,,,,
My Movies Pro - Movie & TV Collection Library,20,1200000,7.99,7.99,Catalogs,Lifestyle,79900,79900,,,,
FINAL FANTASY V,20,1200000,14.99,7.99,Games,Role Playing,149900,79900,,,,
Baldur's Gate: Enhanced Edition,19,1140000,9.99,9.99,Games,Role Playing,99900,99900,,,,
XCOM®: Enemy Within,18,1080000,9.99,9.99,Games,Strategy,99900,99900,,,,
AnatomyMapp,17,1020000,9.99,14.99,Medical,Medical,99900,149900,,,,
"Muscle Premium - Human Anatomy, Kinesiology, Bones",19,1140000,19.99,24.99,Medical,Medical,199900,249900,,,,
